               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10673,            0.028085,                   0,             0.27366,            0.086957,            0.095713,            0.022442,            0.078995,            0.020543,                   0,            0.070789,           0.0032456,           0.0032456
                   1,            0.085473,            0.024713,                   0,             0.26325,             0.17391,             0.19667,            0.058942,            0.071925,              0.0141,                   0,            0.040724,           0.0065138,           0.0065138
                   2,            0.077182,            0.019483,                   0,            0.039055,             0.65217,            0.056048,            0.015519,             0.07367,            0.009873,                   0,            0.010593,            0.009716,            0.009716
                   3,            0.076893,               0.018,                   0,             0.48654,             0.19565,             0.42807,             0.16279,            0.063242,            0.010625,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.068955,            0.019212,                   0,             0.13952,             0.67391,             0.17154,            0.049241,            0.059744,           0.0096472,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.067959,            0.018903,                   0,             0.59172,             0.63013,             0.62179,             0.31298,            0.048987,           0.0092136,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.06152,            0.016831,                   0,             0.55013,             0.56522,             0.57414,             0.18574,            0.048698,           0.0087159,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.057471,            0.016445,                   0,             0.54973,             0.58696,             0.62847,             0.27552,            0.044462,           0.0083052,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054794,            0.017009,                   0,              0.8877,             0.68748,             0.84125,             0.41693,            0.037151,           0.0082011,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052562,            0.015714,                   0,             0.83867,             0.79119,              0.8875,             0.47624,            0.038277,           0.0075827,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.053315,            0.014296,                   0,             0.92262,             0.84783,             0.92686,              0.5687,            0.034212,           0.0076086,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051446,            0.015611,                   0,             0.90862,             0.86472,             0.91822,             0.57517,            0.031816,           0.0077545,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.04527,            0.016062,                   0,             0.80214,             0.78261,             0.87024,             0.47849,            0.033798,           0.0072223,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045167,            0.012824,                   0,             0.75533,             0.80538,             0.86547,             0.42553,             0.03045,           0.0068464,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044243,            0.013193,                   0,             0.75712,             0.88107,             0.89328,             0.42165,            0.030365,           0.0075034,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044081,            0.011792,                   0,             0.70356,             0.82553,             0.74406,             0.35883,            0.029307,           0.0068962,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.045963,            0.012159,                   0,             0.60818,             0.87739,             0.67955,             0.40279,            0.034413,           0.0060938,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043123,            0.011552,                   0,              0.6194,              0.8913,             0.76091,             0.36096,            0.035191,           0.0055669,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042371,            0.011507,                   0,             0.94968,             0.93478,             0.98176,             0.53477,            0.029165,           0.0051085,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.039705,            0.010697,                   0,             0.89914,             0.91304,             0.97727,              0.5733,            0.026707,           0.0050026,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.041385,            0.010917,                   0,              0.9181,             0.97489,             0.98384,             0.49606,            0.031865,           0.0047747,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.042809,            0.010264,                   0,             0.88845,             0.93478,             0.96948,             0.52884,            0.035524,           0.0047815,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.038706,              0.0101,                   0,             0.93152,             0.88716,             0.96855,             0.51187,            0.031479,           0.0045555,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036195,            0.009467,                   0,              0.6736,             0.91304,             0.83817,             0.44159,            0.030865,           0.0045767,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.04191,            0.009683,                   0,             0.97809,             0.97048,             0.98866,             0.60888,            0.029656,           0.0042653,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.036481,            0.010034,                   0,             0.84828,              0.8913,              0.9113,             0.43964,            0.033104,           0.0042259,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.037432,            0.008904,                   0,             0.93222,             0.91304,             0.97524,             0.57624,            0.023329,           0.0045158,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.034097,           0.0094193,                   0,             0.97815,             0.97319,             0.99149,             0.56931,            0.027389,           0.0042645,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033053,           0.0093635,                   0,             0.95742,             0.97762,             0.99085,             0.49235,            0.031432,           0.0043352,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033835,           0.0092533,                   0,                   1,             0.97105,             0.99457,             0.62183,            0.026351,           0.0039424,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033619,           0.0091131,                   0,             0.95802,              0.9923,             0.98911,             0.62328,            0.026102,           0.0038081,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.031785,           0.0086715,                   0,             0.99295,                   1,               0.995,             0.69636,            0.023586,           0.0036606,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.033171,           0.0092936,                   0,             0.99603,                   1,               0.995,             0.68298,            0.024252,           0.0036433,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.033852,           0.0085585,                   0,              0.9915,                   1,               0.995,             0.60656,            0.028782,           0.0035844,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.033007,           0.0086366,                   0,             0.97364,                   1,             0.99457,              0.6622,            0.023086,           0.0035568,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.03281,           0.0089109,                   0,             0.97475,                   1,             0.99415,             0.62835,            0.024454,           0.0035249,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.030581,           0.0084017,                   0,             0.99752,                   1,               0.995,             0.63388,            0.029101,           0.0034616,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.034099,           0.0082956,                   0,             0.99651,                   1,               0.995,             0.64214,            0.024518,           0.0034826,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.031713,           0.0083438,                   0,             0.99837,                   1,               0.995,             0.59987,            0.023028,           0.0035081,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029171,           0.0079081,                   0,             0.97806,                   1,               0.995,             0.71821,             0.02217,           0.0033829,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031107,           0.0086773,                   0,             0.99082,                   1,               0.995,             0.71945,            0.018366,           0.0033756,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.031818,           0.0077342,                   0,              0.9961,                   1,               0.995,             0.57147,            0.023321,           0.0034805,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030902,           0.0069242,                   0,             0.99305,                   1,               0.995,             0.71393,            0.019003,            0.003457,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029379,           0.0075108,                   0,                   1,             0.99623,               0.995,             0.71604,            0.019689,           0.0033406,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028692,           0.0082995,                   0,             0.99801,                   1,               0.995,             0.72432,            0.018728,           0.0033892,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030111,           0.0085174,                   0,             0.98555,                   1,               0.995,              0.7009,            0.020994,            0.003505,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.030583,           0.0078906,                   0,                   1,             0.99782,               0.995,               0.699,             0.02069,           0.0036212,                   0,            0.005545,            0.005545,            0.005545
                  47,              0.0293,           0.0070674,                   0,             0.97507,                   1,             0.99457,             0.65782,            0.020736,           0.0035625,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028433,           0.0080913,                   0,                   1,             0.99754,               0.995,              0.7042,            0.021797,           0.0034197,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027809,           0.0075744,                   0,                   1,             0.99396,               0.995,             0.69119,            0.020904,           0.0033677,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.027154,           0.0076477,                   0,             0.99406,                   1,               0.995,             0.67689,             0.01853,           0.0033447,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024994,           0.0075866,                   0,             0.99517,                   1,               0.995,             0.70566,            0.017969,           0.0033124,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026308,           0.0073245,                   0,             0.99301,                   1,               0.995,             0.74214,            0.017588,           0.0033707,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.028235,           0.0075775,                   0,             0.98761,                   1,               0.995,             0.71139,             0.01838,           0.0033943,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.02675,           0.0078958,                   0,             0.98378,                   1,               0.995,             0.75411,            0.017938,           0.0035273,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02639,           0.0073411,                   0,             0.97437,                   1,               0.995,             0.73949,            0.020801,           0.0033874,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02799,           0.0072093,                   0,             0.99564,                   1,               0.995,             0.71283,            0.019101,           0.0034293,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025017,           0.0067415,                   0,             0.99488,                   1,               0.995,             0.74657,            0.017664,           0.0033904,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025951,           0.0074045,                   0,             0.99668,                   1,               0.995,             0.73951,            0.017573,           0.0033582,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025303,           0.0073977,                   0,             0.99717,                   1,               0.995,              0.7416,            0.019054,           0.0032132,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024959,           0.0069253,                   0,              0.9962,                   1,               0.995,             0.71865,            0.019748,           0.0031312,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025517,            0.006949,                   0,             0.99682,                   1,               0.995,              0.7696,              0.0188,           0.0031187,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023473,           0.0069674,                   0,             0.99691,                   1,               0.995,             0.75189,            0.018591,           0.0031141,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024099,           0.0072004,                   0,             0.99762,                   1,               0.995,              0.7643,            0.016351,           0.0030545,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024886,           0.0066393,                   0,             0.99673,                   1,               0.995,             0.77485,            0.016067,           0.0030539,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02466,           0.0074547,                   0,             0.99742,                   1,               0.995,             0.77221,            0.015839,           0.0030651,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024211,           0.0072216,                   0,             0.99746,                   1,               0.995,             0.76489,            0.016141,           0.0030514,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022718,           0.0065652,                   0,             0.99699,                   1,               0.995,             0.72901,            0.016533,           0.0031053,                   0,            0.003466,            0.003466,            0.003466
                  68,              0.0234,           0.0064819,                   0,             0.99701,                   1,               0.995,              0.7463,            0.015812,           0.0030258,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022388,           0.0068983,                   0,             0.99697,                   1,               0.995,              0.7566,            0.016345,           0.0030119,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022388,           0.0069372,                   0,             0.99722,                   1,               0.995,             0.75556,            0.016239,           0.0029931,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.024003,           0.0069348,                   0,             0.99814,                   1,               0.995,             0.70769,            0.017415,           0.0030498,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022635,           0.0066462,                   0,             0.99805,                   1,               0.995,             0.77075,            0.015971,           0.0030197,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022541,           0.0068308,                   0,             0.99823,                   1,               0.995,             0.77612,            0.016429,           0.0030813,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.022294,           0.0066519,                   0,             0.99807,                   1,               0.995,              0.7729,            0.015936,           0.0029995,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.024556,           0.0068695,                   0,             0.99757,                   1,               0.995,             0.77372,            0.016991,           0.0029325,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022193,           0.0063516,                   0,             0.99821,                   1,               0.995,             0.70639,            0.016886,           0.0029631,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.026026,           0.0066025,                   0,             0.99806,                   1,               0.995,             0.75018,            0.015609,           0.0029019,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021687,            0.006662,                   0,              0.9979,                   1,               0.995,              0.7582,            0.014747,           0.0029011,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022521,           0.0070774,                   0,             0.99771,                   1,               0.995,             0.75285,             0.01513,           0.0029382,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022236,           0.0065773,                   0,             0.99814,                   1,               0.995,             0.76929,            0.014859,           0.0029331,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020487,           0.0068913,                   0,             0.99817,                   1,               0.995,             0.77112,            0.015862,           0.0029698,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022771,           0.0062261,                   0,             0.99794,                   1,               0.995,             0.75231,            0.016638,           0.0029471,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.023736,           0.0064568,                   0,             0.99815,                   1,               0.995,              0.7643,            0.015739,           0.0029382,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019235,           0.0059872,                   0,             0.99826,                   1,               0.995,             0.76109,            0.015984,           0.0029833,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021954,           0.0072793,                   0,             0.99782,                   1,               0.995,             0.76823,            0.015825,           0.0029742,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.022852,            0.007101,                   0,             0.99799,                   1,               0.995,             0.76558,            0.015495,           0.0029427,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022295,           0.0067624,                   0,             0.99785,                   1,               0.995,             0.75735,            0.016112,           0.0029347,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021326,            0.006733,                   0,             0.99816,                   1,               0.995,             0.75691,            0.015617,           0.0029472,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018841,            0.006306,                   0,             0.99793,                   1,               0.995,             0.76545,            0.015506,           0.0029797,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020197,           0.0062325,                   0,             0.99758,                   1,               0.995,             0.77621,            0.015753,           0.0029834,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.022705,           0.0062392,                   0,             0.99766,                   1,               0.995,             0.77507,            0.015872,           0.0029685,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020325,           0.0063369,                   0,             0.99777,                   1,               0.995,             0.77448,            0.015928,           0.0029806,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.022209,           0.0065949,                   0,             0.99841,                   1,               0.995,             0.76735,            0.016245,            0.002964,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019129,           0.0066805,                   0,             0.99821,                   1,               0.995,             0.77886,            0.016205,           0.0029546,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01992,           0.0064441,                   0,             0.99861,                   1,               0.995,             0.77783,             0.01579,           0.0029567,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022225,           0.0073382,                   0,             0.99806,                   1,               0.995,             0.77115,            0.015634,           0.0029385,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021253,           0.0065086,                   0,             0.99797,                   1,               0.995,             0.78293,            0.015663,           0.0029288,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019659,           0.0064325,                   0,             0.99805,                   1,               0.995,             0.77713,            0.015466,           0.0029254,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020925,           0.0062667,                   0,             0.99802,                   1,               0.995,             0.77924,            0.015295,            0.002924,                   0,            0.000298,            0.000298,            0.000298
